yyyy mm dd doy hh mm ss     H [nT]     D [nT]     Z [nT]     Proton [nT]
2023 07 10 191 00 21 40   29194.88    1750.67   39955.73   50576.15
2023 07 10 191 00 21 45   29194.88    1750.69   39955.68   50576.10
2023 07 10 191 00 21 50   29194.82    1750.71   39955.62   50576.03
2023 07 10 191 00 21 55   29194.78    1750.71   39955.59   50576.07
2023 07 10 191 00 22 00   29194.76    1750.69   39955.56   50575.95
2023 07 10 191 00 22 05   29194.79    1750.64   39955.57   50575.96
2023 07 10 191 00 22 10   29194.87    1750.59   39955.61   50576.01
2023 07 10 191 00 22 15   29194.90    1750.50   39955.64   50576.06
2023 07 10 191 00 22 20   29194.89    1750.41   39955.66   50576.08
2023 07 10 191 00 22 25   29194.90    1750.38   39955.70   50576.21
2023 07 10 191 00 22 30   29194.92    1750.38   39955.71   50576.15
2023 07 10 191 00 22 35   29194.93    1750.38   39955.70   50576.12
2023 07 10 191 00 22 40   29194.94    1750.36   39955.71   50576.25
2023 07 10 191 00 22 45   29194.92    1750.33   39955.71   50576.14
2023 07 10 191 00 22 50   29194.91    1750.31   39955.72   50576.14
2023 07 10 191 00 22 55   29194.88    1750.27   39955.76   50576.23
2023 07 10 191 00 23 00   29194.84    1750.25   39955.75   50576.13
2023 07 10 191 00 23 05   29194.79    1750.23   39955.83   50576.21
2023 07 10 191 00 23 10   29194.82    1750.26   39955.79   50576.16
2023 07 10 191 00 23 15   29194.79    1750.26   39955.84   50576.23
2023 07 10 191 00 23 20   29194.77    1750.28   39955.87   50576.16
2023 07 10 191 00 23 25   29194.78    1750.28   39955.84   50576.16
2023 07 10 191 00 23 30   29194.72    1750.25   39955.88   50576.13
2023 07 10 191 00 23 35   29194.72    1750.25   39955.80   50576.10
2023 07 10 191 00 23 40   29194.73    1750.26   39955.78   50576.14
2023 07 10 191 00 23 45   29194.71    1750.26   39955.75   50576.05
2023 07 10 191 00 23 50   29194.71    1750.23   39955.79   50576.06
2023 07 10 191 00 23 55   29194.70    1750.17   39955.81   50576.17
2023 07 10 191 00 24 00   29194.72    1750.14   39955.77   50576.05
2023 07 10 191 00 24 05   29194.71    1750.05   39955.79   50576.09
2023 07 10 191 00 24 10   29194.66    1749.97   39955.83   50576.06
2023 07 10 191 00 24 15   29194.69    1749.92   39955.86   50576.16
2023 07 10 191 00 24 20   29194.74    1749.88   39955.88   50576.13
2023 07 10 191 00 24 25   29194.81    1749.84   39955.91   50576.19
2023 07 10 191 00 24 30   29194.88    1749.81   39955.95   50576.24
2023 07 10 191 00 24 35   29194.86    1749.79   39955.95   50576.29
2023 07 10 191 00 24 40   29194.79    1749.81   39955.97   50576.32
2023 07 10 191 00 24 45   29194.71    1749.81   39955.97   50576.19
2023 07 10 191 00 24 50   29194.70    1749.85   39955.96   50576.20
2023 07 10 191 00 24 55   29194.68    1749.88   39955.94   50576.27
2023 07 10 191 00 25 00   29194.73    1749.92   39955.94   50576.18
2023 07 10 191 00 25 05   29194.74    1749.91   39955.94   50576.25
2023 07 10 191 00 25 10   29194.77    1749.87   39955.96   50576.24
2023 07 10 191 00 25 15   29194.77    1749.83   39955.99   50576.33
2023 07 10 191 00 25 20   29194.76    1749.79   39956.01   50576.26
2023 07 10 191 00 25 25   29194.72    1749.80   39955.98   50576.25
2023 07 10 191 00 25 30   29194.67    1749.80   39955.97   50576.27
2023 07 10 191 00 25 35   29194.61    1749.83   39955.96   50576.11
