iyr mon idm doy ihr min sec power
 10  3 11  70 10 26 40.0   0.216E-03
 10  3 11  70 10 28 10.0   0.104E-03
 10  3 11  70 10 29 40.0   0.345E-04
 10  3 11  70 10 31 10.0   0.950E-04
 10  3 11  70 10 32 40.0   0.982E-04
 10  3 11  70 10 34 10.0   0.233E-03
 10  3 11  70 10 35 40.0   0.143E-03
 10  3 11  70 10 37 10.0   0.130E-03
 10  3 11  70 10 38 40.0   0.133E-03
 10  3 11  70 10 40 10.0   0.104E-03
 10  3 11  70 10 41 40.0   0.302E-04
 10  3 11  70 10 43 10.0   0.613E-04
 10  3 11  70 10 44 40.0   0.107E-03
 10  3 11  70 10 46 10.0   0.191E-03
 10  3 11  70 10 47 40.0   0.122E-03
 10  3 11  70 10 49 10.0   0.161E-03
 10  3 11  70 10 50 40.0   0.119E-03
 10  3 11  70 10 52 10.0   0.113E-03
 10  3 11  70 10 53 40.0   0.111E-03
 10  3 11  70 10 55 10.0   0.424E-03
 10  3 11  70 10 56 40.0   0.533E-03
 10  3 11  70 10 58 10.0   0.338E-03
 10  3 11  70 10 59 40.0   0.244E-03
 10  3 11  70 11  1 10.0   0.222E-03
 10  3 11  70 11  2 40.0   0.233E-03
 10  3 11  70 11  4 10.0   0.276E-03
 10  3 11  70 11  5 40.0   0.445E-03
 10  3 11  70 11  7 10.0   0.180E-03
 10  3 11  70 11  8 40.0   0.362E-03
 10  3 11  70 11 10 10.0   0.283E-03
 10  3 11  70 11 11 40.0   0.365E-03
 10  3 11  70 11 13 10.0   0.156E-02
 10  3 11  70 11 14 40.0   0.200E-02
 10  3 11  70 11 16 10.0   0.429E-03
 10  3 11  70 11 17 40.0   0.201E-03
 10  3 11  70 11 19 10.0   0.250E-03
 10  3 11  70 11 20 40.0   0.840E-03
 10  3 11  70 11 22 10.0   0.946E-03
 10  3 11  70 11 23 40.0   0.598E-03
 10  3 11  70 11 25 10.0   0.574E-03
 10  3 11  70 11 26 40.0   0.224E-03
 10  3 11  70 11 28 10.0   0.720E-03
 10  3 11  70 11 29 40.0   0.944E-03
 10  3 11  70 11 31 10.0   0.116E-02
 10  3 11  70 11 32 40.0   0.135E-02
 10  3 11  70 11 34 10.0   0.140E-02
 10  3 11  70 11 35 40.0   0.240E-02
 10  3 11  70 11 37 10.0   0.121E-01
 10  3 11  70 11 38 40.0   0.159E-01
 10  3 11  70 11 40 10.0   0.109E-02
 10  3 11  70 11 41 40.0   0.214E-02
 10  3 11  70 11 43 10.0   0.131E-01
 10  3 11  70 11 44 40.0   0.131E-01
 10  3 11  70 11 46 10.0   0.846E-03
 10  3 11  70 11 47 40.0   0.107E-02
 10  3 11  70 11 49 10.0   0.140E-02
 10  3 11  70 11 50 40.0   0.206E-02
 10  3 11  70 11 52 10.0   0.965E-03
 10  3 11  70 11 53 40.0   0.449E-03
 10  3 11  70 11 55 10.0   0.424E-03
 10  3 11  70 11 56 40.0   0.160E-03
 10  3 11  70 11 58 10.0   0.149E-04
 10  3 11  70 11 59 40.0   0.227E-03
 10  3 11  70 12  1 10.0   0.246E-03
 10  3 11  70 12  2 40.0   0.255E-03
 10  3 11  70 12  4 10.0   0.226E-03
 10  3 11  70 12  5 40.0   0.294E-03
 10  3 11  70 12  7 10.0   0.158E-03
 10  3 11  70 12  8 40.0   0.894E-03
 10  3 11  70 12 10 10.0   0.324E-03
 10  3 11  70 12 11 40.0   0.224E-04
 10  3 11  70 12 13 10.0   0.380E-03
 10  3 11  70 12 14 40.0   0.380E-03
 10  3 11  70 12 16 10.0   0.425E-03
 10  3 11  70 12 17 40.0   0.733E-04
 10  3 11  70 12 19 10.0   0.114E-03
 10  3 11  70 12 20 40.0   0.839E-04
 10  3 11  70 12 22 10.0   0.751E-04
 10  3 11  70 12 23 40.0   0.520E-04
 10  3 11  70 12 25 10.0   0.711E-03
 10  3 11  70 12 26 40.0   0.441E-03
 10  3 11  70 12 28 10.0   0.222E-03
 10  3 11  70 12 29 40.0   0.333E-03
 10  3 11  70 12 31 10.0   0.101E-03
 10  3 11  70 12 32 40.0   0.278E-03
